23:49:07 | INFO    | core.data_extractor | 找到 13 个操作锚点节点
23:49:07 | INFO    | core.data_extractor | 成功提取 4 条操作记录（去重前 13 条）
23:49:11 | INFO    | core.data_extractor | 找到 13 个操作锚点节点
23:49:11 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 13 条）
23:49:15 | INFO    | core.data_extractor | 找到 13 个操作锚点节点
23:49:15 | INFO    | core.data_extractor | 成功提取 7 条操作记录（去重前 13 条）
23:49:20 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:20 | INFO    | core.data_extractor | 成功提取 9 条操作记录（去重前 54 条）
23:49:25 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:25 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 54 条）
23:49:29 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:30 | INFO    | core.data_extractor | 成功提取 9 条操作记录（去重前 54 条）
23:49:34 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:34 | INFO    | core.data_extractor | 成功提取 11 条操作记录（去重前 54 条）
23:49:39 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:39 | INFO    | core.data_extractor | 成功提取 16 条操作记录（去重前 54 条）
23:49:43 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:44 | INFO    | core.data_extractor | 成功提取 14 条操作记录（去重前 54 条）
23:49:48 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:48 | INFO    | core.data_extractor | 成功提取 10 条操作记录（去重前 54 条）
23:49:53 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:53 | INFO    | core.data_extractor | 成功提取 9 条操作记录（去重前 54 条）
23:49:57 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:49:58 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 54 条）
23:50:02 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:50:02 | INFO    | core.data_extractor | 成功提取 10 条操作记录（去重前 54 条）
23:50:06 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:50:07 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 54 条）
23:50:11 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:50:11 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 54 条）
23:50:16 | INFO    | core.data_extractor | 找到 54 个操作锚点节点
23:50:16 | INFO    | core.data_extractor | 成功提取 8 条操作记录（去重前 54 条）
